Gene,NCBI,TIGR,CoatLocation,SpoVID,CotEdependency,CotHdepdency,CotGdependency,Tgldependency,SafADependency
CgeA,BG11193,Bsu1977,,,,,,,
CgeB,BG11194,Bsu1978,,,,,,,
CgeC,BG11195,Bsu1976,,,,,,,
CgeD,BG11196,Bsu1975,,,,,,,
CgeE,BG11197,Bsu1974,,,,,,,
CotA,BG10490,Bsu0630,OuterCoat,,1,0,,,
CotB,BG10491,Bsu3603,OuterLine,,0.5,0,,,
CotC,BG10492,Bsu1771,OuterCoat,,1,1,,,
CotD,BG10493,Bsu2220,InnerCoat,,0,,,,
CotE,BG10494,Bsu1704,MiddleLine,,1,0.5,,0,
CotF,BG10012,Bsu4050,,,,,,,
CotG,BG11017,Bsu3605,OuterCoat,,1,0.5,,0,1
CotH,BG11791,Bsu3604,InnerOuterCoat,,1,1,,,
CotJA,BG11799,Bsu0689,InnerCoat,,0,0,,,
CotJB,BG11800,Bsu0690,,,,,,,
CotJC,BG11801,Bsu0691,InnerCoat,,,,,,
CotM,BG11822,Bsu1798,,,,,,,
CotP,BG12167,Bsu0555,,,,,,,
CotS,BG11380,Bsu3085,InnerCoat,,1,1,,,
CotSA,BG11381,Bsu3086,InnerCoat,,1,1,,,
CotT(YabG),BG10495,Bsu1210,,,,,,,
CotV,BG10496,Bsu1179,,,,,,,
CotW,BG10497,Bsu1178,OuterCoat,,1,0,,,
CotX,BG10500,Bsu1177,OuterCoat,,1,0,,,
CotY,BG10498,Bsu1176,,,,,,,
CotZ,BG10499,Bsu1175,OuterCoat,,0.5,1,0,,
CwlJ,BG11172,Bsu0261,OuterCoat,,1,,,,
SafA,BG13781,Bsu2780,InnerCoat,1,1,,,,
SpoIVA,BG10275,Bsu2279,InnerLine,,,,,,
SpoVID,BG10346,Bsu2807,InnerCoat,1,0,,,,1
SpoVM,BG10776,Bsu1582,,,,,,,
Tgl,BG10946,Bsu3122,OuterCoat,,0.5,0,,,
YabG,BG10106,Bsu0043,,,,,,,
YckK,BG11187,Bsu0362,,,,,,,
YdhD,BG12181,Bsu0571,,,,,,,
YgaK,BG12231,Bsu0879,,,,,,,
YhaX,BG13000,Bsu0983,InnerCoat,,0,0,,0,
YhbA,BG12236,Bsu0891,,,,,,,
YhbB,BG11811,Bsu0892,InnerCoat,,0,0,,0,
YheC,BG13035,Bsu0978,,,,,,,
YheD,BG13036,Bsu0977,InnerCoat,,0,0,,0,
YhjR,BG13084,Bsu1061,InnerCoat,,0,0,,,
YirY,BG13088,Bsu1065,,,,,,,
YisJ,BG13097,Bsu1074,,,,,,,
YisY,BG13104,Bsu1090,InnerCoat,,0,0,,0,
YjbX (CotO),BG13153,Bsu1174,InnerOuterCoat,,1,0,,,
YjdH,BG13180,Bsu1206,,,,,,,
YknT,BG12251,Bsu1427,OuterCoat,,0.5,0,,,
#,,,,,,,,,
#Gene,NCBI,TIGR,CoatLocation,SpoVID,CotEdependency,CotHdepdency,CotGdependency,Tgldependency,SafADependency
YkuD,BG13288,Bsu1406,,,,,,,
YkvP,BG13318,Bsu1380,,,,,,,
YlbD,BG13356,Bsu1499,OuterCoat,,1,0,,0,
YmaG,BG13415,Bsu1732,InnerCoat,,0,0,,,
YnzH (CotU),BG13471,Bsu1768,OuterCoat,,0.5,0.5,0.5,,
YoaN (OxdD),BG13484,Bsu1866,OuterCoat,,1,,,0,1
YobN,BG13506,Bsu1901,,,,,,,
YodI,BG13537,Bsu1960,InnerCoat,,0,0,,,
YpeP,BG11609,Bsu2198,,,,,,,
YppG,BG11448,Bsu2225,InnerCoat,,0,0,,0,
YqfT (CotN),BG11666,Bsu2509,InnerCoat,,0,0,,,
YsnD,BG12335,Bsu2828,InnerCoat,,0,0,,0,
YsxE,BG10347,Bsu2806,InnerCoat,,0,,,,
YtaA (CotI),BG13821,Bsu3087,OuterCoat,,1,,,,
YtaB,BG13822,Bsu3088,,,,,,,
YtxO,BG11382,Bsu3084,OuterCoat,,1,0,,,
YusA,BG14013,Bsu3269,OuterCoat,,1,0.5,1,,
YutH,BG14044,Bsu3224,InnerCoat,,0,0,,1,
YuzC,BG14052,Bsu3168,InnerCoat,,0,0,,0,
YvdO (CotR),BG12423,Bsu3450,OuterCoat,,1,,,,
YvdP (CotQ),BG12424,Bsu3449,OuterCoat,,0.5,0.5,0.5,,
YwdL (GerQ),BG10608,Bsu3788,OuterCoat,,1,,,1,
YwqH,BG12512,Bsu3619,,,,,,,
YxeE,BG11881,Bsu3954,InnerCoat,,0,0,,,
YybI,BG10022,Bsu4060,InnerCoat,,0,0,,0,
#Gene,NCBI,TIGR,CoatLocation,SpoVID,CotEdependency,CotHdepdency,CotGdependency,Tgldependency,SafADependency
